osm_id,type,lat,lon,name,amenity,addr:street,healthcare
447609697,way,-7.2651863,112.7516509,RS DKT Gubeng Pojok,hospital,,hospital
447610406,way,-7.2426787,112.7519019,Rumah Sakit Adi Husada Kapasan,hospital,,hospital
447615916,way,-7.2889539,112.741385,Rumah Sakit Surabaya Medical Center,hospital,,hospital
447624443,way,-7.2922008,112.7647208,Yayasan Kesehatan Gotong Royong,clinic,,clinic
447625654,way,-7.259271,112.7517882,Klinik Putra Mulya,clinic,,clinic
447634957,way,-7.2491194,112.7513052,Klinik Waridho Walidain,clinic,,clinic
447644654,way,-7.2239311,112.7871822,Puskesmas Pembantu Kedung Cowek,clinic,,
448067612,way,-7.2637016,112.7382415,Puskesmas Kedungdoro,clinic,,clinic
448068865,way,-7.2994662,112.7668296,Poliklinik Utama UNTAG Surabaya,clinic,,clinic
448068924,way,-7.2994651,112.7670062,PMI Gerai Unit Donor Darah,clinic,,clinic
448071243,way,-7.2526888,112.7548298,Poliklinik PMI,clinic,,clinic
448078357,way,-7.2525209,112.7580285,Klinik Bersama,clinic,,clinic
448092882,way,-7.2801984,112.7387603,Esther House Of Beauty,clinic,,clinic
448098012,way,-7.2624178,112.7619086,Klinik Satelit RS Islam Surabaya,clinic,,
448107876,way,-7.254337,112.7434557,RS Mata Undaan,hospital,,
448112158,way,-7.290849,112.7826956,RS Ibu dan Anak Putri,hospital,,hospital
448112707,way,-7.2573961,112.7780142,Puskesmas Kalijudan,clinic,,
